,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Diego Alves,Portero,31,Brasil,6.0
1,Mathew Ryan,Portero,24,Australia,6.0
2,Jaume Doménech,Portero,25,España,4.0
3,Yoel Rodríguez,Portero,27,España,1.5
4,Shkodran Mustafi,Defensa central,24,Alemania,20.0
5,Aymen Abdennour,Defensa central,26,Túnez,10.0
6,Aderllan Santos,Defensa central,27,Brasil,7.0
7,Lucas Orbán,Defensa central,27,Argentina,3.0
8,Rúben Vezo,Defensa central,22,Portugal,2.0
9,Ibrahim Diallo,Defensa central,19,Malí,1.5
10,José Gayà,Lateral izquierdo,21,España,18.0
11,Guilherme Siqueira,Lateral izquierdo,30,Brasil,4.0
12,Toni Lato,Lateral izquierdo,18,España,1.5
13,Diego Caballo,Lateral izquierdo,22,España,1.5
14,João Cancelo,Lateral derecho,22,Portugal,10.0
15,Antonio Barragán,Lateral derecho,29,España,4.0
16,Sofiane Feghouli,Pivote,26,Argelia,15.0
17,Enzo Pérez,Pivote,30,Argentina,14.0
18,Danilo Barbosa,Pivote,20,Brasil,7.0
19,Javi Fuego,Pivote,32,España,5.0
20,André Gomes,Mediocentro,22,Portugal,20.0
21,Dani Parejo,Mediocentro,27,España,18.0
22,Rodrigo de Paul,Mediocentro,22,Argentina,4.5
23,Wilfried Zahibo,Mediocentro,22,República Centroafricana,1.5
24,Tropi,Mediocentro,21,España,1.5
25,Carlos Soler,Mediocentro,19,España,1.5
26,Fran Villalba,Mediocentro ofensivo,18,España,1.5
27,Denis Cheryshev,Extremo izquierdo,25,Rusia,10.0
28,Pablo Piatti,Extremo izquierdo,27,Argentina,7.0
29,Zakaria Bakkali,Extremo izquierdo,20,Bélgica,4.0
30,Sito,Extremo izquierdo,19,España,1.5
31,Nacho Gil,Extremo izquierdo,20,España,1.5
32,Iban Salvador,Extremo izquierdo,20,Guinea Ecuatorial,1.5
33,Paco Alcácer,Delantero centro,22,España,25.0
34,Rodrigo,Delantero centro,25,España,12.0
35,Álvaro Negredo,Delantero centro,30,España,10.0
36,Santi Mina,Delantero centro,20,España,7.0
37,Rafa Mir,Delantero centro,19,España,1.5
