,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Neto,Portero,29,Brasil,18.0
1,Jaume Doménech,Portero,28,España,2.5
2,Cristian Rivero,Portero,21,España,0.25
3,Gabriel Paulista,Defensa central,28,Brasil,20.0
4,Mouctar Diakhaby,Defensa central,22,Guinea,20.0
5,Jeison Murillo,Defensa central,27,Colombia,10.0
6,Cristiano Piccini,Defensa central,26,Italia,10.0
7,Ezequiel Garay,Defensa central,32,Argentina,8.0
8,Rúben Vezo,Defensa central,25,Portugal,6.0
9,Facundo Roncaglia,Defensa central,32,Argentina,2.5
10,José Gayà,Lateral izquierdo,24,España,50.0
11,Toni Lato,Lateral izquierdo,21,España,5.0
12,Álex Centelles,Lateral izquierdo,19,España,1.0
13,Geoffrey Kondogbia,Pivote,26,República Centroafricana,30.0
14,Francis Coquelin,Pivote,28,Francia,17.5
15,Uroš Račić,Pivote,21,Serbia,5.0
16,Hugo Guillamón,Pivote,19,España,0.2
17,Carlos Soler,Mediocentro,22,España,50.0
18,Dani Parejo,Mediocentro,30,España,30.0
19,Daniel Wass,Mediocentro,30,Dinamarca,14.0
20,Kang-in Lee,Mediocentro ofensivo,18,Corea del Sur,10.0
21,Gonçalo Guedes,Extremo izquierdo,22,Portugal,40.0
22,Ferran Torres,Extremo izquierdo,19,España,20.0
23,Denis Cheryshev,Extremo izquierdo,28,Rusia,6.0
24,Nacho Gil,Extremo izquierdo,23,España,0.7
25,Álex Blanco,Extremo izquierdo,20,España,0.5
26,Sito,Extremo izquierdo,22,España,0.2
27,Rodrigo,Delantero centro,28,España,50.0
28,Santi Mina,Delantero centro,23,España,30.0
29,Michy Batshuayi,Delantero centro,25,Bélgica,30.0
30,Kévin Gameiro,Delantero centro,32,Francia,9.0
31,Rubén Sobrino,Delantero centro,27,España,3.0
32,Fran Navarro,Delantero centro,21,España,0.3
