,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Giorgi Mamardashvili,Portero,23,Georgia,35.0
1,Jaume Doménech,Portero,33,España,0.9
2,Cristian Rivero,Portero,26,España,0.2
3,Cristhian Mosquera,Defensa central,19,España,15.0
4,Yarek Gasiorowski,Defensa central,19,España,10.0
5,Mouctar Diakhaby,Defensa central,27,Guinea,4.0
6,Cenk Özkacar,Defensa central,23,Turquía,2.0
7,José Gayà,Lateral izquierdo,28,España,30.0
8,Jesús Vázquez,Lateral izquierdo,21,España,2.0
9,Thierry Correia,Lateral derecho,25,Portugal,6.0
10,Dimitri Foulquier,Lateral derecho,31,Guadalupe,2.5
11,Pepelu,Pivote,25,España,16.0
12,Hugo Guillamón,Pivote,24,España,8.0
13,Javi Guerra,Mediocentro,20,España,20.0
14,André Almeida,Mediocentro,23,Portugal,15.0
15,Selim Amallah,Mediocentro ofensivo,27,Marruecos,2.0
16,Pablo Gozálbez,Mediocentro ofensivo,22,España,0.8
17,Diego López,Extremo izquierdo,21,España,12.0
18,Fran Pérez,Extremo derecho,21,España,8.0
19,Peter Federico,Extremo derecho,21,República Dominicana,3.0
20,Sergi Canós,Extremo derecho,27,España,2.5
21,Hugo González,Extremo derecho,21,España,0.25
22,Hugo Duro,Delantero centro,24,España,16.0
23,Roman Yaremchuk,Delantero centro,28,Ucrania,4.0
24,Alberto Marí,Delantero centro,22,España,0.8
