,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Diego Alves,Portero,29,Brasil,6.0
1,Vicente Guaita,Portero,27,España,5.0
2,Jaume Doménech,Portero,23,España,0.2
3,Héctor Pizana,Portero,19,España,0.2
4,Antonio Sivera,Portero,17,España,0.2
5,Nicolás Otamendi,Defensa central,26,Argentina,12.0
6,Adil Rami,Defensa central,28,Francia,8.0
7,Aly Cissokho,Defensa central,26,Francia,6.0
8,Víctor Ruiz,Defensa central,25,España,5.0
9,Ricardo Costa,Defensa central,33,Portugal,3.0
10,Philippe Senderos,Defensa central,29,Suiza,2.5
11,Rúben Vezo,Defensa central,20,Portugal,1.6
12,Sergio Ayala,Defensa central,21,España,0.2
13,Jérémy Mathieu,Lateral izquierdo,30,Francia,9.0
14,Juan Bernat,Lateral izquierdo,21,España,4.0
15,José Gayà,Lateral izquierdo,19,España,1.0
16,Salva Ruiz,Lateral izquierdo,19,España,0.2
17,João Pereira,Lateral derecho,30,Portugal,6.0
18,Antonio Barragán,Lateral derecho,27,España,2.0
19,Sofiane Feghouli,Pivote,24,Argelia,12.0
20,Oriol Romeu,Pivote,22,España,7.0
21,Javi Fuego,Pivote,30,España,4.0
22,Lion Kaak,Pivote,23,Países Bajos,0.2
23,Éver Banega,Mediocentro,26,Argentina,12.0
24,Dani Parejo,Mediocentro,25,España,10.0
25,Andrés Guardado,Mediocentro,27,México,6.0
26,Míchel Herrero,Mediocentro,25,España,3.5
27,Seydou Keita,Mediocentro,34,Malí,1.5
28,Manu Molina,Mediocentro,22,España,0.2
29,Mario Arqués,Mediocentro,22,España,0.2
30,Sergio Canales,Mediocentro ofensivo,23,España,5.0
31,Jonathan Viera,Mediocentro ofensivo,24,España,4.0
32,Pablo Piatti,Extremo izquierdo,25,Argentina,4.0
33,Dorlan Pabón,Extremo derecho,26,Colombia,5.0
34,Fede Cartabia,Extremo derecho,21,Emiratos Árabes Unidos,3.0
35,Portu,Extremo derecho,22,España,0.2
36,Rober Ibáñez,Extremo derecho,21,España,0.2
37,Jonas,Mediapunta,30,Brasil,12.0
38,Eduardo Vargas,Delantero centro,24,Chile,6.0
39,Paco Alcácer,Delantero centro,20,España,6.0
40,Hélder Postiga,Delantero centro,31,Portugal,3.5
41,Vinícius Araújo,Delantero centro,21,Brasil,3.0
