,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Diego Alves,Portero,32,Brasil,5.0
1,Mathew Ryan,Portero,25,Australia,3.5
2,Jaume Doménech,Portero,26,España,2.5
3,Shkodran Mustafi,Defensa central,25,Alemania,30.0
4,Eliaquim Mangala,Defensa central,26,Francia,15.0
5,Ezequiel Garay,Defensa central,30,Argentina,15.0
6,Aymen Abdennour,Defensa central,27,Túnez,6.0
7,Aderllan Santos,Defensa central,28,Brasil,3.5
8,Rúben Vezo,Defensa central,23,Portugal,1.5
9,Javi Jiménez,Defensa central,20,España,0.3
10,José Gayà,Lateral izquierdo,22,España,18.0
11,Toni Lato,Lateral izquierdo,19,España,3.0
12,Guilherme Siqueira,Lateral izquierdo,31,Brasil,1.5
13,João Cancelo,Lateral derecho,23,Portugal,20.0
14,Martín Montoya,Lateral derecho,26,España,10.0
15,Nacho Vidal,Lateral derecho,22,España,0.3
16,Enzo Pérez,Pivote,31,Argentina,8.0
17,Mario Suárez,Pivote,30,España,6.0
18,Dani Parejo,Mediocentro,28,España,15.0
19,Carlos Soler,Mediocentro,20,España,7.5
20,Álvaro Medrán,Mediocentro,23,España,2.5
21,Eugeni,Mediocentro ofensivo,22,España,0.3
22,Nani,Extremo izquierdo,30,Portugal,10.0
23,Zakaria Bakkali,Extremo izquierdo,21,Bélgica,2.0
24,Nacho Gil,Extremo izquierdo,21,España,0.3
25,Sito,Extremo izquierdo,20,España,0.2
26,Munir El Haddadi,Extremo derecho,21,Marruecos,9.0
27,Fabián Orellana,Extremo derecho,31,Chile,3.0
28,Rober Ibáñez,Extremo derecho,24,España,1.5
29,Fede Cartabia,Extremo derecho,24,Emiratos Árabes Unidos,1.5
30,Nando García,Extremo derecho,23,España,0.4
31,Paco Alcácer,Delantero centro,23,España,18.0
32,Simone Zaza,Delantero centro,26,Italia,15.0
33,Álvaro Negredo,Delantero centro,31,España,7.5
34,Rodrigo,Delantero centro,26,España,7.5
35,Santi Mina,Delantero centro,21,España,6.0
36,Vinícius Araújo,Delantero centro,24,Brasil,0.7
37,Rafa Mir,Delantero centro,20,España,0.5
