,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Neto,Portero,28,Brasil,15.0
1,Jaume Doménech,Portero,27,España,2.5
2,Cristian Rivero,Portero,20,España,0.25
3,Gabriel Paulista,Defensa central,27,Brasil,20.0
4,Jeison Murillo,Defensa central,26,Colombia,15.0
5,Ezequiel Garay,Defensa central,31,Argentina,12.0
6,Rúben Vezo,Defensa central,24,Portugal,6.0
7,Javi Jiménez,Defensa central,21,España,0.3
8,José Gayà,Lateral izquierdo,23,España,35.0
9,Toni Lato,Lateral izquierdo,20,España,8.0
10,João Cancelo,Lateral derecho,24,Portugal,35.0
11,Martín Montoya,Lateral derecho,27,España,8.0
12,Nacho Vidal,Lateral derecho,23,España,1.0
13,Geoffrey Kondogbia,Pivote,25,República Centroafricana,30.0
14,Francis Coquelin,Pivote,27,Francia,12.0
15,Carlos Soler,Mediocentro,21,España,30.0
16,Dani Parejo,Mediocentro,29,España,20.0
17,Nemanja Maksimovic,Mediocentro,23,Serbia,3.0
18,Álvaro Medrán,Mediocentro,24,España,1.8
19,Gonzalo Villar,Mediocentro,20,España,0.2
20,Andreas Pereira,Mediocentro ofensivo,22,Brasil,6.0
21,Gonçalo Guedes,Extremo izquierdo,21,Portugal,40.0
22,Ferran Torres,Extremo izquierdo,18,España,5.0
23,Nacho Gil,Extremo izquierdo,22,España,0.8
24,Fabián Orellana,Extremo derecho,32,Chile,2.0
25,Rober Ibáñez,Extremo derecho,25,España,1.2
26,Rodrigo,Delantero centro,27,España,40.0
27,Simone Zaza,Delantero centro,27,Italia,22.0
28,Santi Mina,Delantero centro,22,España,20.0
29,Luciano Vietto,Delantero centro,24,Argentina,6.0
