,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Jasper Cillessen,Portero,31,Países Bajos,14.5
1,Jaume Doménech,Portero,29,España,6.0
2,Cristian Rivero,Portero,22,España,0.25
3,Gabriel Paulista,Defensa central,29,Brasil,17.5
4,Mouctar Diakhaby,Defensa central,23,Guinea,17.5
5,Eliaquim Mangala,Defensa central,29,Francia,6.0
6,Cristiano Piccini,Defensa central,27,Italia,6.0
7,Ezequiel Garay,Defensa central,33,Argentina,4.8
8,Javi Jiménez,Defensa central,23,España,0.25
9,Guillem Molina,Defensa central,20,España,0.15
10,José Gayà,Lateral izquierdo,25,España,40.0
11,Jaume Costa,Lateral izquierdo,32,España,3.2
12,Alessandro Florenzi,Lateral derecho,29,Italia,16.0
13,Thierry Correia,Lateral derecho,21,Portugal,2.7
14,Geoffrey Kondogbia,Pivote,27,República Centroafricana,22.5
15,Francis Coquelin,Pivote,29,Francia,19.0
16,Hugo Guillamón,Pivote,20,España,0.2
17,Carlos Soler,Mediocentro,23,España,40.0
18,Dani Parejo,Mediocentro,31,España,28.0
19,Daniel Wass,Mediocentro,31,Dinamarca,11.0
20,Koba Koindredi,Mediocentro,18,Francia,0.2
21,Adrián Guerrero,Interior izquierdo,22,España,0.25
22,Kang-in Lee,Mediocentro ofensivo,19,Corea del Sur,13.5
23,Vicente Esquerdo,Mediocentro ofensivo,21,España,0.3
24,Pablo Gozálbez,Mediocentro ofensivo,19,España,0.15
25,Ferran Torres,Extremo izquierdo,20,España,45.0
26,Gonçalo Guedes,Extremo izquierdo,23,Portugal,22.5
27,Denis Cheryshev,Extremo izquierdo,29,Rusia,4.8
28,Manu Vallejo,Mediapunta,23,España,4.8
29,Rodrigo,Delantero centro,29,España,40.0
30,Maxi Gómez,Delantero centro,23,Uruguay,32.0
31,Kévin Gameiro,Delantero centro,33,Francia,6.5
32,Rubén Sobrino,Delantero centro,28,España,2.4
