,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Diego Alves,Portero,30,Brasil,8.0
1,Yoel Rodríguez,Portero,26,España,2.5
2,Jaume Doménech,Portero,24,España,2.0
3,Nicolás Otamendi,Defensa central,27,Argentina,18.0
4,Shkodran Mustafi,Defensa central,23,Alemania,15.0
5,Lucas Orbán,Defensa central,26,Argentina,5.0
6,Rúben Vezo,Defensa central,21,Portugal,2.5
7,José Gayà,Lateral izquierdo,20,España,15.0
8,Salva Ruiz,Lateral izquierdo,20,España,2.0
9,Antonio Barragán,Lateral derecho,28,España,3.0
10,João Cancelo,Lateral derecho,21,Portugal,2.0
11,Enzo Pérez,Pivote,29,Argentina,25.0
12,Sofiane Feghouli,Pivote,25,Argelia,15.0
13,Javi Fuego,Pivote,31,España,6.0
14,Filipe Augusto,Pivote,21,Brasil,2.0
15,Bruno Zuculini,Pivote,22,Argentina,2.0
16,Dani Parejo,Mediocentro,26,España,15.0
17,André Gomes,Mediocentro,21,Portugal,15.0
18,Rodrigo de Paul,Mediocentro,21,Argentina,4.0
19,Tropi,Mediocentro,20,España,2.0
20,Carles Gil,Mediocentro ofensivo,22,España,5.0
21,Pablo Piatti,Extremo izquierdo,26,Argentina,6.0
22,Rober Ibáñez,Extremo derecho,22,España,2.0
23,Álvaro Negredo,Delantero centro,29,España,22.0
24,Paco Alcácer,Delantero centro,21,España,20.0
25,Rodrigo,Delantero centro,24,España,20.0
