,Nombre,Posicion,Edad,Nacionalidad,Valor millones
0,Jasper Cillessen,Portero,32,Países Bajos,5.0
1,Jaume Doménech,Portero,30,España,4.0
2,Cristian Rivero,Portero,23,España,0.3
3,Unai Etxebarria,Portero,24,España,0.15
4,Gabriel Paulista,Defensa central,30,Brasil,15.0
5,Mouctar Diakhaby,Defensa central,24,Guinea,10.0
6,Ferro,Defensa central,24,Portugal,5.0
7,Eliaquim Mangala,Defensa central,30,Francia,2.5
8,Cristiano Piccini,Defensa central,28,Italia,2.2
9,Guillem Molina,Defensa central,21,España,0.6
10,Kevin Sibille,Defensa central,22,Argentina,0.25
11,José Gayà,Lateral izquierdo,26,España,35.0
12,Toni Lato,Lateral izquierdo,23,España,2.5
13,Álex Centelles,Lateral izquierdo,21,España,2.0
14,Jesús Vázquez,Lateral izquierdo,18,España,0.25
15,Thierry Correia,Lateral derecho,22,Portugal,6.0
16,Geoffrey Kondogbia,Pivote,28,República Centroafricana,15.0
17,Uroš Račić,Pivote,23,Serbia,10.0
18,Hugo Guillamón,Pivote,21,España,7.5
19,Christian Oliva,Pivote,25,Uruguay,4.0
20,Carlos Soler,Mediocentro,24,España,40.0
21,Yunus Musah,Mediocentro,18,Estados Unidos,15.0
22,Daniel Wass,Mediocentro,32,Dinamarca,7.0
23,Koba Koindredi,Mediocentro,19,Francia,0.6
24,Kang-in Lee,Mediocentro ofensivo,20,Corea del Sur,10.0
25,Vicente Esquerdo,Mediocentro ofensivo,22,España,1.0
26,Gonçalo Guedes,Extremo izquierdo,24,Portugal,25.0
27,Denis Cheryshev,Extremo izquierdo,30,Rusia,3.5
28,Álex Blanco,Extremo izquierdo,22,España,1.5
29,Jason,Extremo derecho,26,España,2.5
30,Manu Vallejo,Mediapunta,24,España,7.0
31,Maxi Gómez,Delantero centro,24,Uruguay,25.0
32,Patrick Cutrone,Delantero centro,23,Italia,9.0
33,Kévin Gameiro,Delantero centro,34,Francia,3.0
34,Rubén Sobrino,Delantero centro,29,España,1.5
