iter	Logloss
0	0.6773326766
1	0.6636592864
2	0.6505206916
3	0.636724078
4	0.6254240998
5	0.6128183721
6	0.6015146967
7	0.5896027524
8	0.5776575073
9	0.5670559304
10	0.5566498209
11	0.5454581407
12	0.5357273308
13	0.5257725576
14	0.5163065287
15	0.5062674192
16	0.4985505343
17	0.4896212579
18	0.4808062576
19	0.4729153876
20	0.464364312
21	0.457095343
22	0.448698436
23	0.4417616027
24	0.4343931248
25	0.4271678916
26	0.4203806377
27	0.4136776327
28	0.4077242331
29	0.4009494553
30	0.3948997757
31	0.3889930383
32	0.3825812054
33	0.3771558886
34	0.372066144
35	0.3668515471
36	0.3618076384
37	0.3557542146
38	0.3510719706
39	0.3468132645
40	0.3426990107
41	0.3383862824
42	0.3341754511
43	0.3300366484
44	0.3262533719
45	0.322315376
46	0.3181638497
47	0.314246614
48	0.3111398997
49	0.3072346312
50	0.3043074501
51	0.3012192694
52	0.298322128
53	0.2953847185
54	0.2917684139
55	0.2889315126
56	0.2857991645
57	0.2831026132
58	0.2809916952
59	0.2781640042
60	0.2752843034
61	0.2728420536
62	0.2695539377
63	0.2671884147
64	0.2647422557
65	0.2624224425
66	0.2601267868
67	0.2576971654
68	0.2557715281
69	0.253883088
70	0.2523410125
71	0.2503183126
72	0.2484206759
73	0.2468287897
74	0.2451277429
75	0.2432530419
76	0.2415140908
77	0.2399332905
78	0.2381857917
79	0.2368056487
80	0.2351397207
81	0.2335370777
82	0.2322818385
83	0.2308726022
84	0.2296815624
85	0.2284708046
86	0.2270220238
87	0.2253867138
88	0.2244776532
89	0.2229860748
90	0.2215045277
91	0.2202189592
92	0.2190674607
93	0.2178228183
94	0.2166162573
95	0.2155167398
96	0.2145995883
97	0.2138434745
98	0.2130431278
99	0.2121627337
100	0.2110227968
101	0.2099772042
102	0.2090135995
103	0.2081646185
104	0.2068282553
105	0.2059274352
106	0.2052624617
107	0.2045236356
108	0.2036718337
109	0.2028058426
110	0.2019899102
111	0.2010680789
112	0.2002624771
113	0.1995746538
114	0.1987657118
115	0.1978262655
116	0.1971730999
117	0.1964562315
118	0.1957147772
119	0.1946516135
120	0.1938010393
121	0.1930953054
122	0.192308932
123	0.1916704306
124	0.1910736749
125	0.1904973447
126	0.1895276091
127	0.1891205555
128	0.1888323685
129	0.1882704237
130	0.1876933876
131	0.1871751182
132	0.1866533958
133	0.1863009144
134	0.1856137188
135	0.1850682027
136	0.1843152472
137	0.1838135014
138	0.1830933334
139	0.182637878
140	0.1821559646
141	0.1816945557
142	0.1811807077
143	0.1806919038
144	0.1802485195
145	0.1797329399
146	0.1793633193
147	0.1789469715
148	0.1787262199
149	0.1782452279
150	0.1778066719
151	0.1771628152
152	0.1765465352
153	0.1764218075
154	0.1759615511
155	0.1757493754
156	0.1754437528
157	0.1749643862
158	0.1745586245
159	0.1739553822
160	0.1735692342
161	0.1731924384
162	0.1726238067
163	0.1721246464
164	0.1718321688
165	0.1714302175
166	0.1709542068
167	0.1706464127
168	0.1703077685
169	0.1697368269
170	0.1694073634
171	0.1689857777
172	0.1688034174
173	0.168582041
174	0.1682702481
175	0.1677968732
176	0.1672950285
177	0.1670945691
178	0.1668805655
179	0.1666724066
180	0.166361665
181	0.1660354659
182	0.1657853597
183	0.1656440622
184	0.1654281467
185	0.1650838901
186	0.1648949477
187	0.1646238539
188	0.1642680331
189	0.1642119462
190	0.1639678989
191	0.1637592296
192	0.1634473092
193	0.163252962
194	0.1630215963
195	0.1627313728
196	0.1624935945
197	0.1623679942
198	0.1620974725
199	0.1616979461
