iter	MultiClass
178	0.8404421006
179	0.8393968431
180	0.8388223709
181	0.8377465243
182	0.8374773204
183	0.8361470741
184	0.8356399539
185	0.8346687406
186	0.8343611748
187	0.8335734615
188	0.8329916653
189	0.8322165577
190	0.8319752591
191	0.8309800982
192	0.8298498976
193	0.8282816022
194	0.8272144819
195	0.8261416814
196	0.8252974819
197	0.8246026893
198	0.8238922333
199	0.8226695873
200	0.8220152701
201	0.8218818911
202	0.8213994174
203	0.8203968398
204	0.8195512072
205	0.8186011756
206	0.8172379285
207	0.8166335426
208	0.8157871964
209	0.8148196273
210	0.8138875415
211	0.8132310934
212	0.8125901403
213	0.8117596196
214	0.8107522578
215	0.809911678
216	0.809143035
217	0.8082546593
218	0.8078691905
219	0.8068009165
220	0.8057949703
221	0.8046056005
222	0.8036588766
223	0.8017581132
224	0.8008147473
225	0.7990330392
226	0.7974712509
227	0.7966098665
228	0.7958495774
229	0.7938851912
230	0.7925595473
231	0.7918712528
232	0.791095109
233	0.7898138146
234	0.7892791186
235	0.7883260921
236	0.7873669392
237	0.7868069094
238	0.7854538017
239	0.7845658073
240	0.7824259575
241	0.7818000778
242	0.7808596557
243	0.780414533
244	0.7794652222
245	0.7788034255
246	0.778068967
247	0.7775132166
248	0.7761394189
249	0.7757294211
250	0.774821864
251	0.774178483
252	0.7736810021
253	0.772697217
254	0.7716970197
255	0.7706932648
256	0.7699037853
257	0.7687021119
258	0.7683389864
259	0.7675280302
260	0.7670397759
261	0.7667515522
262	0.7661745492
263	0.7650011001
264	0.7639329712
265	0.7633922215
266	0.7627359897
267	0.7623972299
268	0.7615587393
269	0.7608623154
270	0.7598855171
271	0.7593070168
272	0.7585525181
273	0.7575044104
274	0.7568853336
275	0.7563925204
276	0.7554911186
277	0.7550178459
278	0.7540669297
279	0.7532452197
280	0.7522126999
281	0.7513937361
282	0.7508331379
283	0.7497919012
284	0.7491218936
285	0.7480965242
286	0.7475414271
287	0.74615578
288	0.7455652662
289	0.7451284241
290	0.7446298613
291	0.7442155031
292	0.7432785279
293	0.7419255695
294	0.7412311296
295	0.7408218474
296	0.7404110679
297	0.739216651
298	0.7386298413
299	0.7378877812
300	0.737215734
301	0.7363635797
302	0.7355069779
303	0.7350038642
304	0.7340968951
305	0.7324061822
306	0.7313391725
307	0.7306288871
308	0.7299475453
309	0.7290945713
310	0.7283627007
311	0.7280432344
312	0.7265349475
313	0.7257727138
314	0.7251169797
315	0.7244366212
316	0.7240412382
317	0.7232646555
318	0.7228112212
319	0.7221422387
320	0.7209937321
321	0.7200859154
322	0.7196859067
323	0.7186859875
324	0.7171476923
325	0.7162940268
326	0.7155153255
327	0.7149150146
328	0.7143571593
329	0.7139512117
330	0.7128153238
331	0.7121897618
332	0.7113539945
333	0.7102938609
334	0.7094661595
335	0.708940324
336	0.7085321409
337	0.7075604193
338	0.7064649684
339	0.705793696
340	0.7047735932
341	0.703498116
342	0.7031736537
343	0.7026402899
344	0.7020981442
345	0.7011830653
346	0.7007235508
347	0.7002060293
348	0.6999032741
349	0.6995655365
350	0.6991941339
351	0.6980028039
352	0.6974758949
353	0.6962149898
354	0.6949668456
355	0.6943670467
356	0.6940975072
357	0.6935004407
358	0.6925930904
359	0.6918892454
360	0.6913108158
361	0.6907020691
362	0.6899253519
363	0.6895534466
364	0.68890918
365	0.6883822626
366	0.6874885664
367	0.686668649
368	0.6861297882
369	0.685507044
370	0.6848219598
371	0.6842111985
372	0.6837481929
373	0.6831636674
374	0.6827509845
375	0.6820642417
376	0.6816761101
377	0.6805806798
378	0.67971467
379	0.6790049685
380	0.6785583005
381	0.6778389576
382	0.6774158705
383	0.6765628106
384	0.6762249988
385	0.6757316981
386	0.6748761685
387	0.6740852584
388	0.6732737934
389	0.6727996627
390	0.6722306439
391	0.6718219435
392	0.671318507
393	0.6705454999
394	0.6697995304
395	0.6693766568
396	0.669068676
397	0.6684437584
398	0.6683070299
399	0.6677292855
400	0.6664765377
401	0.6657033298
402	0.6647754979
403	0.6644129447
404	0.6642230753
405	0.6638049009
406	0.663368594
407	0.6627308187
408	0.662414812
409	0.6618023227
410	0.6608871477
411	0.6600692841
412	0.6589404302
413	0.6586193956
414	0.6580558343
415	0.6577983748
416	0.6573888655
417	0.6565761081
418	0.6558983973
419	0.6552011682
420	0.6548137922
421	0.6544902111
422	0.6543529825
423	0.6539429337
424	0.6536383544
425	0.6533049324
426	0.6529235047
427	0.652441135
428	0.6515482933
429	0.6512736377
430	0.6508992678
431	0.6500871307
432	0.6494614781
433	0.6487972907
434	0.648069376
435	0.6469988409
436	0.6462726873
437	0.6458427716
438	0.6450486015
439	0.6445021941
440	0.644025385
441	0.6430910509
442	0.6425293013
443	0.6418864011
444	0.6414189244
445	0.640927599
446	0.6404729926
447	0.6402748686
448	0.6395358893
449	0.639236386
450	0.6383351832
451	0.6377220868
452	0.6370303279
453	0.6366227961
454	0.6361087699
455	0.6354469076
456	0.6349910062
457	0.634762284
458	0.6336821865
459	0.6327159494
460	0.6320746867
461	0.6312543332
462	0.6302295825
463	0.6292544009
464	0.6288753746
465	0.6285551036
466	0.6277207483
467	0.6268968694
468	0.626480101
469	0.6261506781
470	0.6254805929
471	0.624428198
472	0.6237025367
473	0.6231680815
474	0.622389645
475	0.621713552
476	0.6210173458
477	0.6206001098
478	0.620159761
479	0.6192392286
480	0.6188120961
481	0.6182804379
482	0.6175370756
483	0.6170293453
484	0.6166565408
485	0.6162659499
486	0.6154577922
487	0.615008647
488	0.6145687047
489	0.6140865808
490	0.6132835578
491	0.6124780958
492	0.6119220181
493	0.6113041919
494	0.6107584453
495	0.6100390673
496	0.6090834255
497	0.6085050451
498	0.6080941742
499	0.6078458961
500	0.6073517249
501	0.6069852672
502	0.606614126
503	0.6058247356
504	0.6054456416
505	0.6050747033
506	0.6045488919
507	0.6038638645
508	0.6036686972
509	0.603044448
510	0.6020595825
511	0.6014520155
512	0.6007345036
513	0.6000077712
514	0.5996544297
515	0.5993229607
516	0.5988189848
517	0.5980529555
518	0.5974634759
519	0.5971685939
520	0.5963402215
521	0.5954826091
522	0.5951199309
523	0.5945367288
524	0.5940095576
525	0.5932816511
526	0.5927326754
527	0.5921334872
528	0.5916509914
529	0.5913335258
530	0.5909551391
531	0.590484254
532	0.5899641275
533	0.5895398259
534	0.5888930663
535	0.5885806437
536	0.5883019555
537	0.5881162865
538	0.5876573516
539	0.5869339598
540	0.5861588231
541	0.5859818371
542	0.5854070867
543	0.5850768663
544	0.5844625322
545	0.5841825459
546	0.58369325
547	0.5831047199
548	0.5825400065
549	0.5818759045
550	0.5814223388
551	0.5807229135
552	0.5800863901
553	0.5797997456
554	0.5792162413
555	0.5786575644
556	0.578191847
557	0.5776548915
558	0.5768547911
559	0.5761629142
560	0.5757415642
561	0.5749284926
562	0.5746128481
563	0.5741279504
564	0.5737016789
565	0.5735077099
566	0.5727207605
567	0.5723902658
568	0.5718029711
569	0.5714106991
570	0.5709727645
571	0.5704385256
572	0.5697114745
573	0.569251847
574	0.5687410876
575	0.5683505143
576	0.5677083652
577	0.5674591137
578	0.5666865746
579	0.5663206313
580	0.5660762355
581	0.5651143726
582	0.5644295633
583	0.56360588
584	0.5633035927
585	0.5629228594
586	0.5626363032
587	0.5620353473
588	0.5613666908
589	0.5609560768
590	0.5603119633
591	0.559802078
592	0.5594791275
593	0.5588120965
594	0.5582520088
595	0.5578724294
596	0.5576185623
597	0.5574623968
598	0.5568875718
599	0.5563954382
600	0.555599188
601	0.5551023629
602	0.5545370555
603	0.5540550201
604	0.5536367809
605	0.5531840921
606	0.5529387666
607	0.5525098534
608	0.5522845678
609	0.5520761388
610	0.5513798874
611	0.5508828247
612	0.5501978558
613	0.5498530311
614	0.5493652124
615	0.5488551598
616	0.5485107966
617	0.5480913685
618	0.5475083067
619	0.546874958
620	0.5466241407
621	0.5463830492
622	0.5458877986
623	0.5452444531
624	0.544802942
625	0.5439511544
626	0.5433057688
627	0.5426002995
628	0.5417002701
629	0.541460446
630	0.5410143031
631	0.5404415251
632	0.539895773
633	0.5396295018
634	0.5389598881
635	0.5386440612
636	0.53835822
637	0.5375761998
638	0.5370738718
639	0.5365402298
640	0.5359123696
641	0.5352491269
642	0.5349357866
643	0.5346173159
644	0.5343458662
645	0.5339474726
646	0.5333899995
647	0.5328702642
648	0.5324911708
649	0.532261514
650	0.5315260174
651	0.5312576027
652	0.5309723129
653	0.5304925766
654	0.5301618098
655	0.5296449058
656	0.5292712277
657	0.5290289455
658	0.528597862
659	0.5284825847
660	0.5275853491
661	0.5273329083
662	0.5267167774
663	0.526220755
664	0.5258816238
665	0.5252630991
666	0.5247438338
667	0.5243619384
668	0.5240734971
669	0.5234295912
670	0.523120265
671	0.5226892947
672	0.5221144847
673	0.521730075
674	0.5212417511
675	0.5208790668
676	0.5202739029
677	0.5198730638
678	0.5194520321
679	0.5192061109
680	0.5188574453
681	0.5183637523
682	0.5176717815
683	0.5172353817
684	0.5167357981
685	0.5162401838
686	0.5156166512
687	0.5152785848
688	0.5147149751
689	0.5137885579
690	0.5132283244
691	0.5129968618
692	0.5128088656
693	0.5123427977
694	0.5119529049
695	0.5114208256
696	0.5109021855
697	0.5103910588
698	0.5099192324
699	0.5094946242
700	0.5090309261
701	0.5083694756
702	0.5079004561
703	0.5075397053
704	0.5072280672
705	0.5067398013
706	0.5063616882
707	0.505848902
708	0.5055524773
709	0.5050627071
710	0.5043941324
711	0.5039297706
712	0.5033711567
713	0.5030721567
714	0.5025408774
715	0.502147728
716	0.5017871628
717	0.5012979976
718	0.5008868034
719	0.5005305771
720	0.5001832543
721	0.4998498356
722	0.499314117
723	0.4986628471
724	0.4982854939
725	0.4978189205
726	0.497515561
727	0.497009089
728	0.4964921109
729	0.4963282002
730	0.4960618895
731	0.4956857827
732	0.495198391
733	0.4949138455
734	0.4946128846
735	0.4942869191
736	0.4939183485
737	0.4936852738
738	0.4934754974
739	0.4933678757
740	0.492763165
741	0.4924076793
742	0.4921305493
743	0.4917753409
744	0.4913546269
745	0.4911803171
746	0.4905857295
747	0.4901953456
748	0.4895923803
749	0.4891366039
750	0.488707282
751	0.4882296892
752	0.4880074084
753	0.4877691862
754	0.4871763995
755	0.4867790372
756	0.486359469
757	0.4858923311
758	0.485417375
759	0.4850300786
760	0.4848196531
761	0.4846113381
762	0.4842084921
763	0.4840206492
764	0.4837555151
765	0.4834514685
766	0.4828439096
767	0.4825920749
768	0.4820143391
769	0.4816381258
770	0.481309471
771	0.4808792398
772	0.480499752
773	0.4799122678
774	0.4793914976
775	0.478906589
776	0.4784424686
777	0.4779759818
778	0.4775449566
779	0.4770763094
780	0.4766682527
781	0.4763898241
782	0.4760255894
783	0.4755154281
784	0.4751244774
785	0.4747922176
786	0.4742965018
787	0.4740514436
788	0.4737099403
789	0.4734457748
790	0.4730730759
791	0.4726485252
792	0.4723878482
793	0.4716998788
794	0.4711429498
795	0.4705930755
796	0.4703627998
797	0.4700119245
798	0.469627737
799	0.4693199205
800	0.4690158709
801	0.4687449925
802	0.4683174116
803	0.4680624095
804	0.4677789098
805	0.4675299429
806	0.4671345067
807	0.4667864113
808	0.4664309301
809	0.4660850793
810	0.4658024164
811	0.4655231569
812	0.4650475506
813	0.4646895141
814	0.4642446918
815	0.4639915366
816	0.4637669754
817	0.4635921507
818	0.4632185748
819	0.4626660393
820	0.4625523993
821	0.4621325665
822	0.4618146421
823	0.4613693757
824	0.4610545629
825	0.4604888137
826	0.4601715398
827	0.4599433524
828	0.4595917308
829	0.4592965286
830	0.4589775569
831	0.4586132864
832	0.4582775511
833	0.4578089194
834	0.4574848971
835	0.4571527735
836	0.4568867962
837	0.4562671731
838	0.4557696274
839	0.4555860342
840	0.4553826542
841	0.454862722
842	0.4546120168
843	0.4541094058
844	0.4538080109
845	0.453490051
846	0.4532273316
847	0.4529791807
848	0.4524865113
849	0.4518127277
850	0.4514627935
851	0.4508145917
852	0.4502563171
853	0.4499462853
854	0.4495371651
855	0.4491999548
856	0.4488171298
857	0.4484516203
858	0.4479728858
859	0.4477748086
860	0.4474216366
861	0.4470573611
862	0.4468487346
863	0.4465609783
864	0.4462041349
865	0.4457874721
866	0.4453934775
867	0.4452146452
868	0.4446856862
869	0.4441540486
870	0.4438180717
871	0.4435337132
872	0.4432531237
873	0.4428707475
874	0.4424322679
875	0.4419896984
876	0.4415508614
877	0.4413085856
878	0.4410286661
879	0.4404527552
880	0.4402541687
881	0.4401227069
882	0.4399649331
883	0.4395727907
884	0.4393140177
885	0.4389876311
886	0.4384208641
887	0.4380675498
888	0.4375687091
889	0.4369861898
890	0.4368038796
891	0.4364295629
892	0.4359923726
893	0.4357748282
894	0.435477262
895	0.4351552843
896	0.4348950522
897	0.4344548084
898	0.4342558872
899	0.433851932
900	0.4336928388
901	0.433413212
902	0.4330401707
903	0.4327953859
904	0.432570445
905	0.4324015485
906	0.4319386633
907	0.4315748713
908	0.4313839811
909	0.4310392663
910	0.4307406576
911	0.4301072267
912	0.4298477053
913	0.4294944169
914	0.4292354455
915	0.4289348104
916	0.42857375
917	0.428197111
918	0.4278183841
919	0.4276644444
920	0.4272901359
921	0.4270677391
922	0.4267867551
923	0.4264733537
924	0.4260643248
925	0.4255209483
926	0.4251850407
927	0.4249455428
928	0.4245751364
929	0.4241632828
930	0.4238967971
931	0.4235005894
932	0.4231140887
933	0.4227555312
934	0.422519193
935	0.4223639514
936	0.4219573487
937	0.4214347127
938	0.4212712963
939	0.4211154511
940	0.4207059546
941	0.4202658302
942	0.4198729805
943	0.4196043693
944	0.4191332125
945	0.4188304717
946	0.4185117223
947	0.4179859907
948	0.4178471011
949	0.4176610331
950	0.4171228483
951	0.4166523379
952	0.4163969901
953	0.4159416039
954	0.4155397133
955	0.415090804
956	0.4149110452
957	0.414437387
958	0.4141749937
959	0.413649867
960	0.4132727888
961	0.4128224198
962	0.4123814468
963	0.4119804729
964	0.4115156622
965	0.4113155738
966	0.4111299012
967	0.4105750397
968	0.4102905094
969	0.4101392843
970	0.4099784591
971	0.409714879
972	0.4091900893
973	0.4090000292
974	0.4085699281
975	0.408164227
976	0.4078624663
977	0.4076188675
978	0.4072100684
979	0.4069519974
980	0.4067320065
981	0.406251927
982	0.4057656032
983	0.4055803163
984	0.4051697054
985	0.4047697082
986	0.4044445897
987	0.4040381222
988	0.4038595361
989	0.403601148
990	0.4032071958
991	0.4028770043
992	0.4025889501
993	0.4024059488
994	0.4022295313
995	0.4019556476
996	0.4015424011
997	0.4012513826
998	0.4008981407
999	0.4005397746
