iter	Passed	Remaining
0	4	4542
1	8	4277
2	12	4241
3	16	4182
4	20	4170
5	24	4116
6	29	4215
7	33	4214
8	38	4191
9	42	4210
10	47	4234
11	51	4248
12	55	4211
13	59	4186
14	63	4175
15	67	4155
16	71	4147
17	75	4132
18	79	4106
19	83	4083
20	87	4071
21	90	4032
22	94	4033
23	98	4025
24	103	4034
25	108	4053
26	112	4065
27	117	4088
28	122	4097
29	126	4090
30	130	4091
31	134	4073
32	138	4069
33	142	4055
34	146	4046
35	150	4042
36	155	4046
37	159	4038
38	163	4038
39	167	4031
40	172	4026
41	178	4077
42	183	4081
43	187	4081
44	191	4069
45	195	4059
46	200	4055
47	204	4053
48	208	4049
49	212	4045
50	216	4033
51	220	4024
52	225	4023
53	229	4020
54	233	4012
55	237	4008
56	242	4015
57	246	4008
58	250	3996
59	254	3992
60	259	3991
61	263	3985
62	267	3980
63	271	3975
64	275	3970
65	280	3968
66	285	3969
67	289	3962
68	293	3954
69	297	3948
70	300	3934
71	304	3924
72	308	3917
73	312	3909
74	316	3900
75	320	3893
76	324	3889
77	328	3883
78	333	3882
79	337	3876
80	341	3872
81	345	3862
82	349	3863
83	354	3863
84	358	3855
85	361	3846
86	366	3843
87	370	3843
88	374	3835
89	379	3833
90	383	3830
91	388	3831
92	392	3830
93	397	3827
94	401	3824
95	405	3816
96	409	3811
97	413	3802
98	416	3792
99	421	3793
100	426	3792
101	430	3788
102	434	3786
103	438	3776
104	441	3766
105	446	3763
106	450	3760
107	454	3754
108	458	3749
109	463	3746
110	467	3740
111	471	3736
112	475	3732
113	479	3726
114	484	3726
115	488	3721
116	492	3714
117	495	3705
118	499	3700
119	503	3695
120	507	3688
121	512	3689
122	516	3683
123	520	3678
124	524	3672
125	528	3668
126	533	3663
127	537	3661
128	541	3658
129	546	3656
130	550	3649
131	554	3648
132	559	3649
133	565	3655
134	570	3652
135	574	3646
136	578	3646
137	583	3642
138	587	3637
139	591	3634
140	596	3633
141	600	3629
142	605	3626
143	609	3623
144	614	3623
145	619	3621
146	624	3624
147	629	3623
148	634	3621
149	638	3615
150	641	3609
151	646	3606
152	651	3605
153	655	3599
154	659	3595
155	664	3597
156	670	3600
157	675	3602
158	681	3605
159	687	3608
160	692	3611
161	698	3614
162	704	3616
163	709	3617
164	715	3620
165	720	3619
166	725	3617
167	729	3613
168	734	3609
169	738	3606
170	744	3607
171	749	3606
172	753	3602
173	757	3597
174	762	3596
175	768	3599
176	774	3601
177	780	3606
178	786	3607
179	792	3608
180	797	3607
181	803	3610
182	808	3611
183	814	3611
184	819	3608
185	823	3605
186	828	3600
187	832	3596
188	837	3593
189	841	3588
190	846	3583
191	850	3578
192	854	3572
193	858	3568
194	862	3561
195	867	3556
196	872	3554
197	876	3550
198	880	3545
199	885	3541
200	889	3537
201	892	3524
202	896	3519
203	900	3515
204	905	3510
205	909	3505
206	913	3500
207	917	3493
208	921	3488
209	925	3483
210	930	3477
211	934	3472
212	938	3466
213	942	3462
214	947	3457
215	950	3451
216	955	3447
217	959	3441
218	963	3435
219	967	3431
220	972	3426
221	976	3421
222	979	3414
223	984	3412
224	989	3408
225	994	3404
226	998	3400
227	1002	3394
228	1006	3388
229	1010	3384
230	1014	3378
231	1018	3372
232	1022	3367
233	1027	3362
234	1031	3357
235	1035	3351
236	1039	3346
237	1043	3340
238	1047	3336
239	1052	3333
240	1056	3328
241	1060	3322
242	1064	3315
243	1067	3308
244	1071	3302
245	1075	3297
246	1080	3292
247	1084	3288
248	1088	3282
249	1092	3276
250	1096	3271
251	1100	3267
252	1104	3261
253	1108	3256
254	1112	3250
255	1116	3243
256	1120	3238
257	1124	3234
258	1130	3233
259	1134	3227
260	1138	3222
261	1142	3217
262	1146	3212
263	1150	3207
264	1154	3201
265	1158	3195
266	1162	3190
267	1166	3185
268	1170	3179
269	1174	3176
270	1179	3172
271	1183	3167
272	1187	3161
273	1191	3157
274	1195	3152
275	1199	3147
276	1204	3144
277	1209	3141
278	1214	3138
279	1219	3135
280	1224	3132
281	1228	3128
282	1233	3125
283	1238	3121
284	1244	3121
285	1249	3118
286	1253	3114
287	1257	3109
288	1262	3105
289	1267	3102
290	1272	3099
291	1276	3094
292	1280	3089
293	1284	3084
294	1288	3079
295	1292	3074
296	1297	3070
297	1301	3065
298	1305	3060
299	1309	3056
300	1313	3050
301	1317	3045
302	1322	3041
303	1326	3036
304	1330	3031
305	1334	3025
306	1338	3021
307	1343	3018
308	1347	3014
309	1351	3008
310	1356	3005
311	1360	3000
312	1365	2996
313	1368	2989
314	1372	2983
315	1376	2979
316	1380	2973
317	1384	2968
318	1387	2962
319	1391	2957
320	1396	2953
321	1400	2949
322	1404	2943
323	1408	2939
324	1413	2935
325	1416	2929
326	1421	2925
327	1425	2920
328	1429	2915
329	1433	2910
330	1437	2905
331	1441	2901
332	1445	2896
333	1450	2891
334	1454	2887
335	1458	2882
336	1462	2878
337	1467	2873
338	1471	2868
339	1474	2863
340	1478	2858
341	1482	2852
342	1487	2848
343	1491	2843
344	1495	2839
345	1499	2834
346	1504	2830
347	1508	2825
348	1512	2821
349	1516	2816
350	1520	2811
351	1524	2805
352	1528	2800
353	1532	2796
354	1536	2791
355	1540	2786
356	1544	2781
357	1548	2776
358	1553	2773
359	1557	2768
360	1561	2763
361	1565	2759
362	1570	2755
363	1574	2751
364	1578	2746
365	1583	2742
366	1587	2738
367	1591	2734
368	1595	2728
369	1599	2724
370	1604	2719
371	1608	2715
372	1612	2711
373	1616	2705
374	1620	2700
375	1624	2695
376	1627	2689
377	1631	2685
378	1636	2681
379	1640	2676
380	1644	2672
381	1648	2667
382	1652	2662
383	1656	2657
384	1660	2653
385	1664	2648
386	1668	2643
387	1673	2639
